Provider,Source,Instrument,Status
HAO,MLSO,K-Cor,9
HAO,MLSO,chp,9
HAO,MLSO,dpm,9
HAO,MLSO,mk4,9
HAO,SMM,cp,9
INAF-OACT,OACT,BE-Continuum,1
INAF-OACT,OACT,BE-Halpha,0
INAF-OACT,OACT,Cooke-Refractor,9
JSOC,SDO,AIA,0
JSOC,SDO,HMI,0
KIS,ChroTel,ChroTel,9
KSO,KSO,CAII,9
KSO,KSO,FILM,9
KSO,KSO,HA2,9
KSO,KSO,KPDC,9
KSO,KSO,PHOKA,9
KSO,KSO,TM-1001,9
KSO,KSO,TM-1010,9
LASP,MINXSS1,X123,0
LASP,SDO,EVE,0
LMSAL,IRIS,IRIS,0
LSSP,RHESSI,RHESSI,0
MSFC,CLASP2,SJ,2
MSFC,CLASP2,SP1,2
MSFC,CLASP2,SP2,2
MSFC,HI-C,HI-C,0
MSFC,HI-C21,HI-C21,0
MSU,YOHKOH,BCS,9
MSU,YOHKOH,HXT,9
MSU,YOHKOH,SXT,9
MSU,YOHKOH,WBS,9
MWSPADP,MtWilson,60-ft SHG,0
NGDC,GOES-12,SXI-0,9
NOAA,GOES16,SUVI,0
NOAA,GOES17,SUVI,0
NRL,PSP,WISPR,0
NSO,Evans,spectroheliograph,1
NSO,GONG,Big Bear,0
NSO,GONG,Cerro Tololo,0
NSO,GONG,El Teide,0
NSO,GONG,Learmonth,1
NSO,GONG,MERGED GONG,0
NSO,GONG,Mauna Loa,0
NSO,GONG,Udaipur,0
NSO,HXECLIPSE,HXECLIPSE,9
NSO,ISOON,ISOON,0
NSO,IVM,IVM,1
NSO,KPVT,512-channel magnetograph,0
NSO,KPVT,spectromagnetograph,1
NSO,McMath,solar fts spectrometer,1
NSO,PTMC,PTMC,1
NSO,SDO,HMI,0
NSO,SOLIS,ISS,0
NSO,SOLIS,vsm,1
NWRA,MCCD,MEES,0
OBSPM,OBSPM,Meudon Spectroheliograph,0
OMP,OMP,CLIMSO,0
OVRO,OVRO,OVSA,9
ROB,PROBA2,SWAP,0
SAO,Hinode,XRT,9
SDAC,EUNIS,LONGWAVE-LOBE-06,0
SDAC,EUNIS,LONGWAVE-LOBE-07,0
SDAC,EUNIS,LONGWAVE-SLIT-06,0
SDAC,EUNIS,LONGWAVE-SLIT-07,0
SDAC,EUNIS,SHORTWAVE-LOBE-06,0
SDAC,EUNIS,SHORTWAVE-LOBE-07,0
SDAC,EUNIS,SHORTWAVE-SLIT-06,0
SDAC,EUNIS,SHORTWAVE-SLIT-07,0
SDAC,FOXSI1,FOXSI,0
SDAC,FOXSI2,FOXSI,0
SDAC,FOXSI3,FOXSI,0
SDAC,FOXSI3,PHOENIX,0
SDAC,Hinode,EIS,0
SDAC,Hinode,SOT,0
SDAC,SDO,AIA,9
SDAC,SO,EUI,1
SDAC,SOHO,CDS,1
SDAC,SOHO,CELIAS,0
SDAC,SOHO,COSTEP,0
SDAC,SOHO,EIT,0
SDAC,SOHO,ERNE,0
SDAC,SOHO,GOLF,0
SDAC,SOHO,LASCO,0
SDAC,SOHO,SUMER,1
SDAC,SOHO,SWAN,0
SDAC,SOHO,UVCS,1
SDAC,SOHO,VIRGO,0
SDAC,TRACE,TRACE,1
SDAC,VAULT,VAULT-1999,0
SDAC,VAULT,VAULT-2002,0
SDAC,VAULT,VAULT-2014,0
SFO,SFO,CFTD1,9
SFO,SFO,CFTD2,9
SHA,SOHO,MDI,1
SSC,STEREO_A,IMPACT,0
SSC,STEREO_A,PLASTIC,0
SSC,STEREO_A,SECCHI,0
SSC,STEREO_A,SWAVES,0
SSC,STEREO_B,IMPACT,1
SSC,STEREO_B,PLASTIC,1
SSC,STEREO_B,SECCHI,1
