Provider,Source,Instrument,Date_Start,Date_End
HAO,MLSO,K-Cor,2013-09-30,
HAO,MLSO,chp,1996-04-20,2013-08-02
HAO,MLSO,dpm,1994-02-20,2010-02-23
HAO,MLSO,mk4,1998-10-01,2013-07-20
HAO,SMM,cp,1980-03-02,1989-11-18
INAF-OACT,OACT,BE-Continuum,2010-05-20,
INAF-OACT,OACT,BE-Halpha,2020-05-20,
INAF-OACT,OACT,Cooke-Refractor,2009-01-01,
JSOC,SDO,AIA,2010-05-12,
JSOC,SDO,HMI,2010-03-29,
KIS,ChroTel,ChroTel,2012-04-01,
KSO,KSO,CAII,2010-07-31,
KSO,KSO,FILM,1973-05-05,2000-03-10
KSO,KSO,HA2,2008-06-01,
KSO,KSO,KPDC,2007-07-02,
KSO,KSO,PHOKA,1989-03-27,2007-06-13
KSO,KSO,TM-1001,1998-09-24,2005-07-12
KSO,KSO,TM-1010,2005-07-13,2010-09-22
LASP,MINXSS1,X123,2016-04-27,2017-05-07
LASP,SDO,EVE,2010-04-30,
LMSAL,IRIS,IRIS,2013-07-16,
LSSP,RHESSI,RHESSI,2002-02-12,
MSFC,CLASP2,SJ,2019-04-11,2019-04-11
MSFC,CLASP2,SP1,2019-04-11,2019-04-11
MSFC,CLASP2,SP2,2019-04-11,2019-04-11
MSFC,HI-C,HI-C,2012-07-11,2012-07-11
MSFC,HI-C21,HI-C21,2018-05-29,2018-05-29
MSU,YOHKOH,BCS,1991-09-01,2001-12-14
MSU,YOHKOH,HXT,1991-09-03,2001-12-14
MSU,YOHKOH,SXT,1991-09-03,2001-12-14
MSU,YOHKOH,WBS,1991-09-01,2001-12-14
MWSPADP,MtWilson,60-ft SHG,1915-08-10,1985-07-07
NGDC,GOES-12,SXI-0,2001-09-10,
NOAA,GOES16,SUVI,2017-04-01,
NOAA,GOES17,SUVI,2019-02-01,
NRL,PSP,WISPR,2018-10-31,
NSO,Evans,spectroheliograph,1996-02-05,1999-05-28
NSO,GONG,Big Bear,2005-04-11,
NSO,GONG,Cerro Tololo,2005-02-24,
NSO,GONG,El Teide,2005-02-25,
NSO,GONG,Learmonth,2005-02-25,
NSO,GONG,MERGED GONG,2001-07-22,
NSO,GONG,Mauna Loa,2005-04-11,
NSO,GONG,Udaipur,2007-04-09,
NSO,HXECLIPSE,HXECLIPSE,1869-08-07,2009-07-22
NSO,ISOON,ISOON,2003-01-02,2012-04-18
NSO,IVM,IVM,1999-11-24,2003-12-19
NSO,KPVT,512-channel magnetograph,1974-02-01,1993-04-10
NSO,KPVT,spectromagnetograph,1992-04-19,2003-09-21
NSO,McMath,solar fts spectrometer,1976-03-31,2002-08-11
NSO,PTMC,PTMC,1967-04-18,2009-06-26
NSO,SDO,HMI,2010-04-08,
NSO,SOLIS,ISS,2006-12-02,
NSO,SOLIS,vsm,2004-01-02,
NWRA,MCCD,MEES,1990-01-04,2007-03-01
OBSPM,OBSPM,Meudon Spectroheliograph,2017-06-15,
OMP,OMP,CLIMSO,2007-04-27,
OVRO,OVRO,OVSA,2000-03-16,
ROB,PROBA2,SWAP,2009-11-02,
SAO,Hinode,XRT,2006-10-23,
SDAC,EUNIS,LONGWAVE-LOBE-06,2006-04-12,2006-04-12
SDAC,EUNIS,LONGWAVE-LOBE-07,2007-11-06,2007-11-06
SDAC,EUNIS,LONGWAVE-SLIT-06,2006-04-12,2006-04-12
SDAC,EUNIS,LONGWAVE-SLIT-07,2007-11-06,2007-11-06
SDAC,EUNIS,SHORTWAVE-LOBE-06,2006-04-12,2006-04-12
SDAC,EUNIS,SHORTWAVE-LOBE-07,2007-11-06,2007-11-06
SDAC,EUNIS,SHORTWAVE-SLIT-06,2006-04-12,2006-04-12
SDAC,EUNIS,SHORTWAVE-SLIT-07,2007-11-06,2007-11-06
SDAC,FOXSI1,FOXSI,2012-11-02,2012-11-02
SDAC,FOXSI2,FOXSI,2014-12-11,2014-12-11
SDAC,FOXSI3,FOXSI,2018-09-07,2018-09-07
SDAC,FOXSI3,PHOENIX,2018-09-07,2018-09-07
SDAC,Hinode,EIS,2006-10-23,
SDAC,Hinode,SOT,2006-10-23,
SDAC,SDO,AIA,2012-05-11,
SDAC,SO,EUI,2020-05-12,
SDAC,SOHO,CDS,1996-01-19,
SDAC,SOHO,CELIAS,1995-12-02,
SDAC,SOHO,COSTEP,1995-12-07,
SDAC,SOHO,EIT,1996-01-01,
SDAC,SOHO,ERNE,1996-05-08,
SDAC,SOHO,GOLF,1996-01-01,
SDAC,SOHO,LASCO,1996-12-08,
SDAC,SOHO,SUMER,1996-01-22,2017-04-04
SDAC,SOHO,SWAN,1996-01-12,
SDAC,SOHO,UVCS,1996-01-12,
SDAC,SOHO,VIRGO,1995-12-06,
SDAC,TRACE,TRACE,1996-01-19,2010-06-22
SDAC,VAULT,VAULT-1999,1999-05-07,1999-05-07
SDAC,VAULT,VAULT-2002,2002-06-14,2002-06-14
SDAC,VAULT,VAULT-2014,2014-09-30,2014-09-30
SFO,SFO,CFDT1,1986-05-26,
SFO,SFO,CFDT2,1992-01-11,
SHA,SOHO,MDI,1996-01-30,2011-04-12
SSC,STEREO_A,IMPACT,2006-10-01,
SSC,STEREO_A,PLASTIC,2006-10-01,
SSC,STEREO_A,SECCHI,2006-11-06,
SSC,STEREO_A,SWAVES,2006-10-27,
SSC,STEREO_B,IMPACT,2006-10-01,
SSC,STEREO_B,PLASTIC,2006-10-12,
SSC,STEREO_B,SECCHI,2006-11-07,
SSC,STEREO_B,SWAVES,2006-10-27,
